





#######################################
# Starting new log
# Date      : 2018-01-10 13:49:51.994 
# ThreadIDs : NO
# LogLevel  : FAL:INFO
#######################################
2018-01-10 13:50:01.845 INF:FAL USPlatformMgr.cpp:1399:getPlatformCapFW_All:  Serial Number:123456789012CSK9130A4423
2018-01-10 13:50:01.847 INF:FAL USPlatformMgr.cpp:1410:getPlatformCapFW_All:  System Configuration:2016-10-04-002003002999
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1435:getPlatformCapFW_All:  ---------------Platform Capabilities-----------------
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1436:getPlatformCapFW_All:  version_major:1
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1437:getPlatformCapFW_All:  version_minor:4
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1449:getPlatformCapFW_All:  Software System Capabilities
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1450:getPlatformCapFW_All:  Mux Board: 
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1462:getPlatformCapFW_All:      Mux 260
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1496:getPlatformCapFW_All:  opmode0: 0x40
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1500:getPlatformCapFW_All:      ⨯ 16 Max Channels
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1501:getPlatformCapFW_All:      ⨯ 32 Max Channels
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1502:getPlatformCapFW_All:      ✓ 64 Max Channels
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1503:getPlatformCapFW_All:  opmode1: 0x3f [00000000000000000000000000111111]
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ B-Mode
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Power Doppler Imaging
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Pulsed Wave Doppler
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Color Flow Mapping
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ Tissue Harmonic Imaging
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1510:getPlatformCapFW_All:      ✓ M-Mode
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1511:getPlatformCapFW_All:  opmode2: 0x2f [00000000000000000000000000101111]
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ PCIE
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ SW-Mode
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ HW-Mode
2018-01-10 13:50:01.848 INF:FAL USPlatformMgr.cpp:1521:getPlatformCapFW_All:      ✓ Master Mode
